Unnamed: 0,order_id,first_name,last_name,email,total_amt,items_cnt,category,item_name,price
0,310566.0,Robot,Petrov,RobotPetrov@yahoo.com,124.8,4.0,dongle,rechargable dongle refill,31.2
1,301821.0,D,Murphy,D_Murphy@gmail.net,17.16,13.0,widget,miniature widget refill,1.32
2,391059.0,R,Petrov,RPetrov1965@gmail.info,120.0,3.0,device,extra-strength device wrapper,40.0
3,379249.0,Pierre,Khan,PierreKhan2004@earthlink.com,267.0,3.0,gadget,gadget,89.0
4,10573.0,Sarah,Ortiz,Sarah_Ortiz2002@earthlink.com,110.0,1.0,module,prize-winning module,110.0
5,160980.0,Rodrigo,Mueller,RodrigoMueller1971@earthlink.net,175.0,1.0,device,aerodynamic device storage_unit,175.0
6,317128.0,Ben,Gonzalez,Ben_Gonzalez1989@yahoo.org,16.8,7.0,widget,fuzzy widget refill,2.4
7,370959.0,Janelle,Sousa,JanelleSousa1980@inbox.com,1250.0,4.0,contraption,matte contraption,312.5
8,68914.0,Katherine,Liu,Katherine_Liu1952@yahoo.org,2250.0,3.0,contraption,industrial-strength contraption,750.0
9,159865.0,S,Dubois,S_Dubois@gmail.com,121.0,2.0,module,miniature module warmer,60.5
10,362392.0,Robot,Diaz,Robot_Diaz@inbox.com,30.0,3.0,tool,fuzzy tool wrapper,10.0
11,186484.0,Ruth,Dubois,Ruth_Dubois@earthlink.biz,13.86,7.0,widget,digital widget cleaner,1.98
12,208393.0,Yuna,Freeman,Yuna_Freeman@earthlink.biz,80.0,4.0,tool,tool refill,20.0
13,258896.0,I,Petrov,I_Petrov@inbox.com,54.0,3.0,tool,glossy tool cleaner,18.0
14,230646.0,Katherine,Ortiz,Katherine_Ortiz2004@earthlink.com,979.0,4.0,gadget,prize-winning gadget storage_unit,244.75
15,319590.0,George,Korhonen,GeorgeKorhonen1991@earthlink.com,126.0,3.0,dongle,aerodynamic dongle,42.0
16,71843.0,R,Hassan,RHassan@gmail.org,900.0,4.0,contraption,analog contraption,225.0
17,374733.0,Mohamed,Kruger,MohamedKruger1970@gmail.net,24.0,2.0,dongle,dongle wrapper,12.0
18,150119.0,Bot,Varghese,BotVarghese@outlook.edu,85.8,3.0,instrument,reflective instrument opener,28.6
19,78062.0,Yuna,Robotson,Yuna_Robotson1990@inbox.biz,72.0,4.0,device,analog device wrapper,18.0
20,,Grace,Rodriquez,GraceRodriquez@mail.biz,,,,,
21,352185.0,Jennifer,Nielsen,Jennifer_Nielsen@yahoo.net,39.6,3.0,mechanism,prize-winning mechanism refill,13.2
22,,H,Liu,HLiu1982@inbox.com,,,,,
23,275216.0,R,Agarwal,RAgarwal1992@outlook.edu,412.5,3.0,device,digital device storage_unit,137.5
24,200952.0,Marina,Botson,Marina_Botson@gmail.com,108.0,4.0,dongle,organic dongle carrying_case,27.0
25,45407.0,Elena,Brown,ElenaBrown@inbox.net,308.0,4.0,device,aerodynamic device warmer,77.0
26,232296.0,Tambika,Powell,TambikaPowell1958@yahoo.info,140.0,4.0,tool,aerodynamic tool,35.0
27,282340.0,Marina,Novak,Marina_Novak@outlook.net,64.08,2.0,gadget,analog gadget wrapper,32.04
28,105108.0,K,Taylor,KTaylor2000@gmail.org,50.0,2.0,tool,tool,25.0
29,138017.0,S,Dubois,S_Dubois2005@gmail.edu,78.0,4.0,mechanism,rechargable mechanism,19.5
30,346328.0,Luis,Miller,LuisMiller1979@earthlink.com,0.0,3.0,instrument,glossy instrument how-to-manual,0.0
31,114290.0,Amaira,Zhou,Amaira_Zhou@earthlink.edu,19.8,2.0,mechanism,digital mechanism carrying_case,9.9
32,286456.0,John,Watanabe,JohnWatanabe@gmail.com,450.0,4.0,dongle,organic dongle storage_unit,112.5
33,,Riya,Agarwal,RiyaAgarwal@yahoo.com,,,,,
34,174507.0,Aya,Petrov,AyaPetrov@earthlink.biz,156.0,4.0,dongle,rechargable dongle,39.0
35,115523.0,S,Ortiz,SOrtiz1970@mail.com,22.5,6.0,widget,matte widget,3.75
36,217017.0,Rin,Chen,RinChen@gmail.edu,21.0,5.0,widget,aerodynamic widget,4.2
37,298539.0,E,Scientist,E_Scientist1955@gmail.com,65.0,2.0,tool,reflective tool,32.5
38,316062.0,Jennifer,Liu,JenniferLiu1966@earthlink.com,320.0,4.0,module,module refill,80.0
39,,Rin,Anand,Rin_Anand@yahoo.edu,,,,,
40,233070.0,Sarah,Taylor,SarahTaylor1955@outlook.biz,26.4,3.0,instrument,fuzzy instrument charger,8.8
41,317681.0,R,Russell,RRussell1987@gmail.org,126.0,3.0,dongle,aerodynamic dongle,42.0
42,74983.0,C,Dhawan,C_Dhawan2001@gmail.info,165.0,1.0,contraption,prize-winning contraption carrying_case,165.0
43,324757.0,C,Gruber,CGruber1990@yahoo.biz,81.0,3.0,mechanism,industrial-strength mechanism carrying_case,27.0
44,38151.0,Irene,Agarwal,Irene_Agarwal2003@earthlink.com,27.0,10.0,widget,analog widget,2.7
45,130872.0,Peter,Petrov,PeterPetrov@yahoo.com,0.0,4.0,gadget,digital gadget how-to-manual,0.0
46,104538.0,F,McRobot,FMcRobot1951@inbox.com,240.0,4.0,dongle,extra-strength dongle,60.0
47,199993.0,Rin,Hernandez,RinHernandez@gmail.biz,45.0,3.0,mechanism,mechanism,15.0
48,396559.0,Felipe,Pillay,Felipe_Pillay@gmail.net,120.0,2.0,dongle,extra-strength dongle,60.0
49,90434.0,R,Khoury,R_Khoury@gmail.edu,54.0,4.0,mechanism,analog mechanism,13.5
50,58104.0,Mia,Taylor,Mia_Taylor1969@outlook.net,450.0,3.0,module,organic module,150.0
51,397949.0,Youseff,Schmidt,Youseff_Schmidt1977@outlook.net,0.0,2.0,mechanism,aerodynamic mechanism how-to-manual,0.0
52,268537.0,Lucia,Dhawan,Lucia_Dhawan@earthlink.net,2.7,5.0,widget,analog widget charger,0.54
53,158853.0,N,Diaz,N_Diaz@yahoo.com,65.0,1.0,device,rechargable device,65.0
54,340375.0,George,Sokolov,GeorgeSokolov1973@gmail.org,108.0,4.0,dongle,organic dongle cleaner,27.0
55,46002.0,Logan,Botson,Logan_Botson@gmail.edu,25.2,6.0,widget,aerodynamic widget,4.2
56,338669.0,Pierre,Russell,Pierre_Russell1998@mail.com,45.0,2.0,dongle,matte dongle carrying_case,22.5
57,,Ruth,Ahmad,Ruth_Ahmad2003@yahoo.org,,,,,
58,73622.0,Victoria,Miller,Victoria_Miller1962@gmail.net,116.16,2.0,instrument,glossy instrument warmer,58.08
59,158704.0,Nathan,Kowalski,Nathan_Kowalski1969@outlook.com,12.6,7.0,widget,widget carrying_case,1.8
60,316269.0,Lisa,Saito,LisaSaito@gmail.edu,120.0,2.0,dongle,extra-strength dongle,60.0
61,264253.0,Santiago,Adams,Santiago_Adams@gmail.biz,225.0,2.0,device,analog device storage_unit,112.5
62,145750.0,Amaira,Silva,AmairaSilva1967@yahoo.net,30.0,3.0,tool,tool wrapper,10.0
63,243370.0,John,Sokolov,John_Sokolov@outlook.info,60.0,2.0,dongle,dongle,30.0
64,317664.0,Ahmed,Santos,Ahmed_Santos1997@yahoo.com,900.0,2.0,apparatus,organic apparatus,450.0
65,251792.0,Camila,Horvat,Camila_Horvat1979@mail.net,14.4,4.0,mechanism,glossy mechanism charger,3.6
66,108491.0,Dot,Mueller,DotMueller1990@gmail.com,100.0,4.0,tool,fuzzy tool,25.0
67,319343.0,Arata,Novak,Arata_Novak1984@mail.org,412.5,3.0,instrument,matte instrument storage_unit,137.5
68,215313.0,Ben,Novak,Ben_Novak1960@gmail.com,3600.0,4.0,apparatus,industrial-strength apparatus,900.0
69,174841.0,Mateo,Liu,MateoLiu1975@gmail.org,500.0,2.0,contraption,contraption,250.0
70,380049.0,N,Freeman,NFreeman1961@gmail.org,23.4,2.0,mechanism,rechargable mechanism cleaner,11.7
71,,Sunita,Phillips,Sunita_Phillips@earthlink.edu,,,,,
72,36725.0,B,Freeman,BFreeman@gmail.com,135.0,3.0,mechanism,industrial-strength mechanism,45.0
73,15689.0,Irene,Lopez,IreneLopez1972@yahoo.net,300.0,3.0,module,fuzzy module,100.0
74,165262.0,Elena,McRobotFace,ElenaMcRobotFace1963@yahoo.com,72.0,8.0,widget,industrial-strength widget,9.0
75,321956.0,A,Tamm,ATamm@outlook.org,10.8,4.0,widget,analog widget,2.7
76,,N,Gruber,N_Gruber@gmail.biz,,,,,
77,219568.0,Irene,Mueller,Irene_Mueller1974@yahoo.com,0.0,3.0,mechanism,digital mechanism how-to-manual,0.0
78,391013.0,R,Korhonen,RKorhonen@gmail.net,71.2,2.0,gadget,fuzzy gadget wrapper,35.6
79,351557.0,Sora,Computer,SoraComputer@yahoo.edu,120.0,2.0,device,extra-strength device cleaner,60.0
80,275854.0,Nathan,Petrov,NathanPetrov@yahoo.com,225.0,3.0,device,organic device,75.0
81,76833.0,B,Kim,BKim@outlook.org,271.04,4.0,instrument,aerodynamic instrument warmer,67.76
82,177641.0,Ben,Miller,BenMiller2002@gmail.net,600.0,2.0,module,industrial-strength module,300.0
